major_name,onetsoc_code,match_strength
Advanced Manufacturing Operations,17-3028.00,0.83
Civil Engineering Technology,17-3029.00,0.98
Electrical Engineering,17-3029.00,0.92
Mechanical Engineering Technology,17-3029.00,0.92
Computer Engineering,17-3029.00,0.87
Environmental Engineering,17-3029.00,0.87
Special Education,17-3029.01,0.93
Business Administration,17-3029.08,0.90
Management,17-3029.08,0.90
Communication Studies,17-3029.08,0.90
Civil Engineering Technology,17-3031.00,0.94
Construction Project Management,17-3031.00,0.80
Environmental Engineering,17-3031.00,0.72
Nutrition and Dietetics,19-1011.00,0.98
Nutrition Science,19-1011.00,0.98
Sport Nutrition,19-1011.00,0.98
Lifestyle Medicine,19-1011.00,0.83
Physics,19-1011.00,0.83
Biochemistry,19-1011.00,0.80
Chemistry,19-1012.00,0.98
Physics,19-1012.00,0.96
Advanced Manufacturing Sciences,19-1012.00,0.83
Biochemistry,19-1012.00,0.83
Civil Engineering Technology,19-1012.00,0.83
Computer Engineering,19-1012.00,0.83
Biochemistry,19-1013.00,0.94
Biology,19-1013.00,0.94
Business Administration,19-1013.00,0.94
Chemistry,19-1013.00,0.94
Management,19-1013.00,0.94
Physics,19-1013.00,0.94
Electrical Engineering,19-1021.00,0.98
Mechanical Engineering Technology,19-1021.00,0.98
Biochemistry,19-1021.00,0.83
Chemistry,19-1021.00,0.83
Applied Geology,19-1021.00,0.80
Mathematics,19-1021.00,0.80
Biology,19-1022.00,0.94
Health Care Professional Services,19-1022.00,0.94
Integrative Health Care,19-1022.00,0.94
Public Health,19-1022.00,0.94
Biology,19-1023.00,0.98
Environmental Science,19-1023.00,0.93
Environmental Engineering,19-1023.00,0.88
Environmental Sustainability,19-1023.00,0.87
Biochemistry,19-1029.00,0.90
Biology,19-1029.00,0.90
Physics,19-1029.00,0.90
Biochemistry,19-1029.01,0.98
Biology,19-1029.01,0.98
Health Care Information Systems Major,19-1029.01,0.98
Computer Information Systems,19-1029.01,0.93
Computer Science,19-1029.01,0.86
Chemistry,19-1029.01,0.85
Biochemistry,19-1029.02,0.94
Biology,19-1029.02,0.94
Applied Geology,19-1029.02,0.72
Biochemistry,19-1029.03,0.94
Applied Geology,19-1029.03,0.72
Biology,19-1029.03,0.72
Biology,19-1029.04,0.94
Applied Geology,19-1029.04,0.72
Biochemistry,19-1029.04,0.72
Biology,19-1031.00,0.98
Environmental Science,19-1031.00,0.86
Environmental Sustainability,19-1031.00,0.86
Business Administration,19-1031.02,0.98
Management,19-1031.02,0.98
Biology,19-1031.02,0.86
Environmental Science,19-1031.02,0.86
Operations Management,19-1031.02,0.83
Public Health,19-1031.03,0.90
Public Relations,19-1031.03,0.90
Environmental Science,19-1032.00,0.98
Environmental Sustainability,19-1032.00,0.93
Environmental Engineering,19-1032.00,0.88
Biology,19-1032.00,0.82
Public Health,19-1041.00,0.98
Health Care Information Systems Major,19-1041.00,0.78
Health Care Management,19-1041.00,0.78
Health Care Professional Services,19-1041.00,0.78
Integrative Health Care,19-1041.00,0.78
Nutrition Science,19-1041.00,0.78
Biochemistry,19-1042.00,0.98
Health Care Professional Services,19-1042.00,0.94
Public Health,19-1042.00,0.94
Integrative Health Care,19-1042.00,0.87
Biology,19-1099.00,0.98
Physics,19-1099.00,0.71
Physics,19-2011.00,0.94
Applied Geology,19-2011.00,0.72
Biochemistry,19-2011.00,0.72
Physics,19-2012.00,0.94
Applied Geology,19-2012.00,0.72
Biochemistry,19-2012.00,0.72
Meteorology,19-2021.00,0.98
Aerospace Systems and Mission Design,19-2021.00,0.85
Business Intelligence,19-2021.00,0.70
Advanced Manufacturing Sciences,19-2031.00,0.95
Chemistry,19-2031.00,0.95
Mathematics,19-2031.00,0.75
Operations Management,19-2031.00,0.75
Statistical Science,19-2031.00,0.75
Chemistry,19-2032.00,0.98
Physics,19-2032.00,0.86
Applied Geology,19-2032.00,0.64
Environmental Science,19-2041.00,0.98
Public Health,19-2041.00,0.98
Environmental Engineering,19-2041.00,0.88
Environmental Sustainability,19-2041.00,0.87
Environmental Science,19-2041.01,0.98
Environmental Sustainability,19-2041.01,0.98
Meteorology,19-2041.01,0.98
Mathematics,19-2041.01,0.85
Applied Geology,19-2041.01,0.81
Biology,19-2041.01,0.81
Environmental Science,19-2041.02,0.98
Environmental Sustainability,19-2041.02,0.98
Environmental Engineering,19-2041.02,0.93
Biology,19-2041.02,0.89
Industrial Design,19-2041.03,0.98
Advanced Manufacturing Operations,19-2041.03,0.93
Advanced Manufacturing Sciences,19-2041.03,0.93
Applied Geology,19-2042.00,0.98
Environmental Engineering,19-2042.00,0.94
Environmental Science,19-2042.00,0.85
Environmental Sustainability,19-2042.00,0.85
Physics,19-2042.00,0.85
Applied Geology,19-2043.00,0.98
Biochemistry,19-2043.00,0.68
Biology,19-2043.00,0.68
K-12 Physical Education,19-2099.00,0.98
Physics,19-2099.00,0.72
Business Administration,19-2099.01,0.94
Business Intelligence,19-2099.01,0.94
Human Resource Management,19-2099.01,0.94
Management,19-2099.01,0.94
Statistical Science,19-3011.00,0.94
Applied Geology,19-3011.00,0.72
Biochemistry,19-3011.00,0.72
Environmental Sustainability,19-3011.01,0.98
Environmental Engineering,19-3011.01,0.94
Environmental Science,19-3011.01,0.93
Civil Engineering Technology,19-3022.00,0.94
Construction Project Management,19-3022.00,0.80
Environmental Engineering,19-3022.00,0.72
Human Resource Management,19-3032.00,0.98
Marketing,19-3032.00,0.88
Industrial Design,19-3032.00,0.86
Health Care Professional Services,19-3033.00,0.98
"Art History, Theory, and Criticism",19-3033.00,0.90
Integrative Health Care,19-3033.00,0.90
Industrial Design,19-3033.00,0.78
Nursing,19-3033.00,0.78
Psychology Major,19-3033.00,0.78
Industrial Design,19-3034.00,0.94
English,19-3034.00,0.90
Art Education,19-3034.00,0.72
Psychology Major,19-3039.00,0.90
Health Care Professional Services,19-3039.02,0.94
Human Services,19-3039.02,0.94
Integrative Health Care,19-3039.02,0.94
Biochemistry,19-3039.02,0.90
Biology,19-3039.02,0.90
Chemistry,19-3039.02,0.90
Health Care Professional Services,19-3039.03,0.98
Integrative Health Care,19-3039.03,0.83
Nursing,19-3039.03,0.83
Business Administration,19-3041.00,0.98
International Business,19-3041.00,0.98
Political Science,19-3041.00,0.98
Business Intelligence,19-3041.00,0.83
Human Resource Management,19-3041.00,0.83
Human Services,19-3041.00,0.83
Geography,19-3051.00,0.98
Event and Meeting Management,19-3051.00,0.68
K-12 Physical Education,19-3051.00,0.68
History,19-3091.00,0.95
Human Development and Family Studies,19-3091.00,0.95
"Speech, Language, Hearing Sciences",19-3091.00,0.95
Anthropology,19-3091.00,0.75
"Art History, Theory, and Criticism",19-3091.00,0.75
Human Resource Management,19-3091.00,0.75
Political Science,19-3092.00,0.98
Applied Geology,19-3092.00,0.83
Environmental Science,19-3092.00,0.83
Environmental Sustainability,19-3092.00,0.83
Geography,19-3092.00,0.83
Human Services,19-3092.00,0.83
Film Studies and Production,19-3093.00,0.98
History,19-3093.00,0.98
Media Production and Leadership,19-3093.00,0.98
"Art History, Theory, and Criticism",19-3093.00,0.83
Broadcast Journalism,19-3093.00,0.83
Political Science,19-3093.00,0.83
Political Science,19-3094.00,0.98
Public Health,19-3094.00,0.74
Criminal Justice and Criminology,19-3094.00,0.64
Social Work,19-3099.00,0.98
Anthropology,19-3099.00,0.89
Physics,19-3099.00,0.68
Business Intelligence,19-3099.01,0.90
Event and Meeting Management,19-3099.01,0.90
Biology,19-4012.00,0.98
Nutrition Science,19-4012.00,0.93
Nutrition and Dietetics,19-4012.00,0.86
Sport Nutrition,19-4012.00,0.86
Chemistry,19-4012.00,0.85
Business Intelligence,19-4012.01,0.98
Business Administration,19-4012.01,0.76
International Business,19-4012.01,0.76
Chemistry,19-4013.00,0.98
Mathematics,19-4013.00,0.76
Physics,19-4013.00,0.76
Biochemistry,19-4021.00,0.98
Biology,19-4021.00,0.86
Chemistry,19-4021.00,0.76
Chemistry,19-4031.00,0.98
Environmental Science,19-4031.00,0.80
Environmental Sustainability,19-4031.00,0.80
Environmental Science,19-4042.00,0.98
Environmental Engineering,19-4042.00,0.95
Environmental Sustainability,19-4042.00,0.87
Public Health,19-4042.00,0.84
Physics,19-4042.00,0.82
Biology,19-4043.00,0.94
Chemistry,19-4043.00,0.94
Nutrition Science,19-4043.00,0.94
Applied Geology,19-4044.00,0.94
Biology,19-4044.00,0.94
Chemistry,19-4044.00,0.94
Environmental Engineering,19-4044.00,0.94
Political Science,19-4044.00,0.94
Public Health,19-4044.00,0.90
Chemistry,19-4051.00,0.98
Physics,19-4051.00,0.89
Biology,19-4051.00,0.82
Human Development and Family Studies,19-4051.02,0.90
Human Resource Management,19-4051.02,0.90
Human Services,19-4051.02,0.90
Physics,19-4051.02,0.90
Chemistry,19-4061.00,0.98
Advanced Manufacturing Operations,19-4061.00,0.88
Social Work,19-4061.00,0.86
Biology,19-4061.00,0.82
Physics,19-4061.00,0.82
Biology,19-4071.00,0.98
Environmental Science,19-4071.00,0.94
Fire and Emergency Response Administration,19-4071.00,0.84
Environmental Sustainability,19-4071.00,0.82
Criminal Justice and Criminology,19-4092.00,0.96
Psychology Major,19-4092.00,0.70
Political Science,19-4092.00,0.68
Advanced Manufacturing Sciences,19-4099.00,0.98
K-12 Physical Education,19-4099.00,0.94
Social Work,19-4099.00,0.94
Advanced Manufacturing Operations,19-4099.01,0.98
Brewery Operations,19-4099.01,0.98
Chemistry,19-4099.01,0.98
Advanced Manufacturing Sciences,19-4099.01,0.86
Aerospace Systems and Mission Design,19-4099.03,0.94
Aviation and Aerospace Science,19-4099.03,0.94
Aviation and Aerospace Management,19-4099.03,0.72
Public Health,19-5011.00,0.98
Health Care Information Systems Major,19-5011.00,0.87
Health Care Management,19-5011.00,0.87
Health Care Professional Services,19-5011.00,0.87
Integrative Health Care,19-5011.00,0.87
Health Care Information Systems Major,19-5012.00,0.98
Health Care Management,19-5012.00,0.98
Health Care Professional Services,19-5012.00,0.98
Integrative Health Care,19-5012.00,0.98
Public Health,19-5012.00,0.98
Biochemistry,19-5012.00,0.80
Human Services,21-1011.00,0.98
Psychology Major,21-1011.00,0.86
Human Development and Family Studies,21-1011.00,0.76
Art Education,21-1012.00,0.93
Early Childhood Education,21-1012.00,0.93
Elementary Education,21-1012.00,0.93
Health Care Information Systems Major,21-1012.00,0.93
Health Care Management,21-1012.00,0.93
Health Care Professional Services,21-1012.00,0.93
Human Development and Family Studies,21-1013.00,0.98
Psychology Major,21-1013.00,0.77
Africana Studies,21-1013.00,0.65
Human Services,21-1014.00,0.98
Psychology Major,21-1014.00,0.88
Social Work,21-1014.00,0.84
Public Health,21-1014.00,0.83
Human Development and Family Studies,21-1014.00,0.82
Industrial Design,21-1015.00,0.94
"Art History, Theory, and Criticism",21-1015.00,0.72
Art,21-1015.00,0.72
Human Development and Family Studies,21-1019.00,0.90
Human Services,21-1019.00,0.90
Psychology Major,21-1019.00,0.90
Social Work,21-1021.00,0.98
Human Development and Family Studies,21-1021.00,0.91
Human Services,21-1021.00,0.78
Social Work,21-1022.00,0.98
Health Care Professional Services,21-1022.00,0.91
Integrative Health Care,21-1022.00,0.91
Health Care Information Systems Major,21-1022.00,0.87
Public Health,21-1022.00,0.86
Health Care Management,21-1022.00,0.83
Social Work,21-1023.00,0.98
Human Services,21-1023.00,0.87
Psychology Major,21-1023.00,0.80
Social Work,21-1029.00,0.98
Integrative Health Care,21-1091.00,0.98
Lifestyle Medicine,21-1091.00,0.92
Special Education,21-1091.00,0.88
Art Education,21-1091.00,0.86
Early Childhood Education,21-1091.00,0.86
Elementary Education,21-1091.00,0.86
Criminal Justice and Criminology,21-1092.00,0.96
Psychology Major,21-1092.00,0.70
Political Science,21-1092.00,0.68
Human Services,21-1093.00,0.98
Social Work,21-1093.00,0.98
Human Development and Family Studies,21-1093.00,0.82
Public Health,21-1094.00,0.98
Health Care Professional Services,21-1094.00,0.87
Integrative Health Care,21-1094.00,0.87
Social Work,21-1094.00,0.86
Health Care Information Systems Major,21-1094.00,0.82
Health Care Management,21-1094.00,0.82
Social Work,21-1099.00,0.98
Africana Studies,21-1099.00,0.80
Chicano Studies,21-1099.00,0.80
Human Services,21-1099.00,0.80
Sociology,21-1099.00,0.80
Business Administration,21-2011.00,0.90
Management,21-2011.00,0.90
Communication Studies,21-2011.00,0.90
Art Education,21-2021.00,0.98
Early Childhood Education,21-2021.00,0.98
Elementary Education,21-2021.00,0.98
K-12 Physical Education,21-2021.00,0.91
Music Education,21-2021.00,0.91
Special Education,21-2021.00,0.91
Social Work,21-2099.00,0.93
Civil Engineering Technology,23-1011.00,0.98
Criminal Justice and Criminology,23-1011.00,0.98
Construction Project Management,23-1011.00,0.83
Philosophy,23-1011.00,0.83
Political Science,23-1011.00,0.83
Philosophy,23-1012.00,0.94
Political Science,23-1012.00,0.94
Applied Geology,23-1012.00,0.72
"Speech, Language, Hearing Sciences",23-1021.00,0.98
Political Science,23-1021.00,0.88
Human Services,23-1021.00,0.74
Media Production and Leadership,23-1022.00,0.93
Criminal Justice and Criminology,23-1023.00,0.98
Civil Engineering Technology,23-1023.00,0.90
Political Science,23-1023.00,0.90
Construction Project Management,23-1023.00,0.78
Applied Geology,23-2011.00,0.89
Biochemistry,23-2011.00,0.89
Biology,23-2011.00,0.89
Chemistry,23-2011.00,0.89
Data Science and Machine Learning,23-2011.00,0.89
Environmental Science,23-2011.00,0.89
Real Estate,23-2093.00,0.98
Finance,23-2093.00,0.74
History,23-2093.00,0.74
Social Work,23-2099.00,0.93
Philosophy,23-2099.00,0.80
Business Administration,25-1011.00,0.98
Human Resource Management,25-1011.00,0.95
Mathematics,25-1011.00,0.89
International Business,25-1011.00,0.88
Business Intelligence,25-1011.00,0.84
Computer Engineering,25-1021.00,0.98
Computer Information Systems,25-1021.00,0.98
Computer Science,25-1021.00,0.98
Computer Security,25-1021.00,0.98
Business Administration,25-1021.00,0.80
Industrial Design,25-1021.00,0.80
Statistical Science,25-1022.00,0.94
Applied Geology,25-1022.00,0.72
Biochemistry,25-1022.00,0.72
Environmental Engineering,25-1031.00,0.98
Environmental Science,25-1031.00,0.98
Environmental Sustainability,25-1031.00,0.98
Industrial Design,25-1031.00,0.90
Applied Geology,25-1031.00,0.87
Civil Engineering Technology,25-1032.00,0.98
Electrical Engineering,25-1032.00,0.98
Mechanical Engineering Technology,25-1032.00,0.98
Computer Engineering,25-1032.00,0.87
Environmental Engineering,25-1032.00,0.87
Advanced Manufacturing Sciences,25-1032.00,0.84
Business Administration,25-1041.00,0.94
Environmental Science,25-1041.00,0.94
Environmental Sustainability,25-1041.00,0.94
Management,25-1041.00,0.94
Biochemistry,25-1042.00,0.94
Biology,25-1042.00,0.94
Applied Geology,25-1042.00,0.72
Environmental Science,25-1043.00,0.94
Environmental Sustainability,25-1043.00,0.94
Applied Geology,25-1043.00,0.72
Chemistry,25-1051.00,0.98
Physics,25-1051.00,0.98
Applied Geology,25-1051.00,0.83
Meteorology,25-1051.00,0.83
Chemistry,25-1052.00,0.98
Mathematics,25-1052.00,0.74
Statistical Science,25-1052.00,0.74
Environmental Science,25-1053.00,0.98
Environmental Sustainability,25-1053.00,0.98
Environmental Engineering,25-1053.00,0.93
Physics,25-1054.00,0.98
Applied Geology,25-1054.00,0.65
Biochemistry,25-1054.00,0.65
Applied Geology,25-1061.00,0.89
Biochemistry,25-1061.00,0.89
Biology,25-1061.00,0.89
Chemistry,25-1061.00,0.89
Data Science and Machine Learning,25-1061.00,0.89
Environmental Science,25-1061.00,0.89
Geography,25-1062.00,0.94
Applied Geology,25-1062.00,0.72
Biochemistry,25-1062.00,0.72
Applied Geology,25-1063.00,0.89
Biochemistry,25-1063.00,0.89
Biology,25-1063.00,0.89
Chemistry,25-1063.00,0.89
Data Science and Machine Learning,25-1063.00,0.89
Environmental Science,25-1063.00,0.89
Geography,25-1064.00,0.98
Applied Geology,25-1064.00,0.66
Biochemistry,25-1064.00,0.66
Political Science,25-1065.00,0.98
Applied Geology,25-1065.00,0.65
Biochemistry,25-1065.00,0.65
Psychology Major,25-1066.00,0.98
Health Care Professional Services,25-1066.00,0.77
Nursing,25-1066.00,0.77
Applied Geology,25-1067.00,0.89
Biochemistry,25-1067.00,0.89
Biology,25-1067.00,0.89
Chemistry,25-1067.00,0.89
Data Science and Machine Learning,25-1067.00,0.89
Environmental Science,25-1067.00,0.89
Social Work,25-1069.00,0.98
Art Education,25-1069.00,0.72
Early Childhood Education,25-1069.00,0.72
Public Health,25-1071.00,0.98
Health Care Professional Services,25-1071.00,0.87
Health Care Management,25-1071.00,0.84
Integrative Health Care,25-1071.00,0.84
Nursing,25-1072.00,0.98
Health Care Professional Services,25-1072.00,0.85
Public Health,25-1072.00,0.80
Health Care Management,25-1072.00,0.72
Art Education,25-1081.00,0.98
Early Childhood Education,25-1081.00,0.98
Elementary Education,25-1081.00,0.98
K-12 Physical Education,25-1081.00,0.92
Music Education,25-1081.00,0.92
Special Education,25-1081.00,0.92
Applied Geology,25-1082.00,0.89
Biochemistry,25-1082.00,0.89
Biology,25-1082.00,0.89
Chemistry,25-1082.00,0.89
Data Science and Machine Learning,25-1082.00,0.89
Environmental Science,25-1082.00,0.89
Criminal Justice and Criminology,25-1111.00,0.98
Political Science,25-1111.00,0.70
Applied Geology,25-1111.00,0.62
Political Science,25-1112.00,0.94
Applied Geology,25-1112.00,0.72
Biochemistry,25-1112.00,0.72
Applied Geology,25-1113.00,0.89
Biochemistry,25-1113.00,0.89
Biology,25-1113.00,0.89
Chemistry,25-1113.00,0.89
Data Science and Machine Learning,25-1113.00,0.89
Environmental Science,25-1113.00,0.89
Music,25-1121.00,0.98
Art,25-1121.00,0.88
Applied Geology,25-1121.00,0.77
Public Relations,25-1122.00,0.98
Broadcast Journalism,25-1122.00,0.85
Communication Design,25-1122.00,0.83
Applied Geology,25-1123.00,0.89
Biochemistry,25-1123.00,0.89
Biology,25-1123.00,0.89
Chemistry,25-1123.00,0.89
Data Science and Machine Learning,25-1123.00,0.89
Environmental Science,25-1123.00,0.89
Applied Geology,25-1124.00,0.89
Biochemistry,25-1124.00,0.89
Biology,25-1124.00,0.89
Chemistry,25-1124.00,0.89
Data Science and Machine Learning,25-1124.00,0.89
Environmental Science,25-1124.00,0.89
Applied Geology,25-1125.00,0.89
Biochemistry,25-1125.00,0.89
Biology,25-1125.00,0.89
Chemistry,25-1125.00,0.89
Data Science and Machine Learning,25-1125.00,0.89
Environmental Science,25-1125.00,0.89
Applied Geology,25-1126.00,0.89
Biochemistry,25-1126.00,0.89
Biology,25-1126.00,0.89
Chemistry,25-1126.00,0.89
Data Science and Machine Learning,25-1126.00,0.89
Environmental Science,25-1126.00,0.89
Human Development and Family Studies,25-1192.00,0.98
Finance,25-1192.00,0.88
Nutrition and Dietetics,25-1192.00,0.88
Nutrition Science,25-1192.00,0.88
Sport Nutrition,25-1192.00,0.88
Sport Management,25-1193.00,0.98
Business Administration,25-1193.00,0.83
Event and Meeting Management,25-1193.00,0.83
Management,25-1193.00,0.83
Art Education,25-1194.00,0.98
Early Childhood Education,25-1194.00,0.98
Elementary Education,25-1194.00,0.98
K-12 Physical Education,25-1194.00,0.92
Music Education,25-1194.00,0.92
Special Education,25-1194.00,0.92
Art Education,25-1199.00,0.90
Early Childhood Education,25-1199.00,0.90
Elementary Education,25-1199.00,0.90
K-12 Physical Education,25-1199.00,0.90
Music Education,25-1199.00,0.90
Special Education,25-1199.00,0.90
Early Childhood Education,25-2011.00,0.98
Human Development and Family Studies,25-2011.00,0.82
Special Education,25-2011.00,0.70
Early Childhood Education,25-2012.00,0.98
Human Development and Family Studies,25-2012.00,0.82
Special Education,25-2012.00,0.70
Elementary Education,25-2021.00,0.98
Special Education,25-2021.00,0.74
Special Education,25-2022.00,0.98
Art Education,25-2022.00,0.91
Early Childhood Education,25-2022.00,0.91
Elementary Education,25-2022.00,0.91
K-12 Physical Education,25-2022.00,0.87
Music Education,25-2022.00,0.87
Art Education,25-2023.00,0.98
Early Childhood Education,25-2023.00,0.98
Elementary Education,25-2023.00,0.98
K-12 Physical Education,25-2023.00,0.92
Music Education,25-2023.00,0.92
Special Education,25-2023.00,0.92
Special Education,25-2031.00,0.98
Art Education,25-2031.00,0.91
Early Childhood Education,25-2031.00,0.91
Elementary Education,25-2031.00,0.91
K-12 Physical Education,25-2031.00,0.87
Music Education,25-2031.00,0.87
Art Education,25-2032.00,0.98
Early Childhood Education,25-2032.00,0.98
Elementary Education,25-2032.00,0.98
K-12 Physical Education,25-2032.00,0.92
Music Education,25-2032.00,0.92
Special Education,25-2032.00,0.92
Special Education,25-2051.00,0.98
Elementary Education,25-2051.00,0.72
Special Education,25-2055.00,0.98
Elementary Education,25-2055.00,0.72
Special Education,25-2056.00,0.98
Elementary Education,25-2056.00,0.72
Special Education,25-2057.00,0.98
Elementary Education,25-2057.00,0.72
Special Education,25-2058.00,0.98
Elementary Education,25-2058.00,0.72
Special Education,25-2059.00,0.98
Elementary Education,25-2059.00,0.72
K-12 Physical Education,25-2059.01,0.98
Special Education,25-2059.01,0.85
Art Education,25-2059.01,0.83
Early Childhood Education,25-2059.01,0.83
Elementary Education,25-2059.01,0.83
Art Education,25-3011.00,0.98
Early Childhood Education,25-3011.00,0.98
Elementary Education,25-3011.00,0.98
English,25-3011.00,0.98
K-12 Physical Education,25-3011.00,0.91
Music Education,25-3011.00,0.91
K-12 Physical Education,25-3021.00,0.95
Sport Management,25-3021.00,0.95
Art Education,25-3021.00,0.75
Early Childhood Education,25-3021.00,0.75
Elementary Education,25-3021.00,0.75
Event and Meeting Management,25-3021.00,0.75
Art Education,25-3031.00,0.94
Early Childhood Education,25-3031.00,0.94
Elementary Education,25-3031.00,0.94
K-12 Physical Education,25-3031.00,0.94
Music Education,25-3031.00,0.94
Special Education,25-3031.00,0.94
Business Administration,25-3041.00,0.90
Management,25-3041.00,0.90
Communication Studies,25-3041.00,0.90
Art Education,25-3099.00,0.90
Early Childhood Education,25-3099.00,0.90
Elementary Education,25-3099.00,0.90
K-12 Physical Education,25-3099.00,0.90
Music Education,25-3099.00,0.90
Special Education,25-3099.00,0.90
Physics,25-4011.00,0.94
Applied Geology,25-4011.00,0.72
Biochemistry,25-4011.00,0.72
Elementary Education,25-4012.00,0.94
Instructional Design and Technology,25-4012.00,0.94
Special Education,25-4012.00,0.94
Applied Geology,25-4013.00,0.89
Biochemistry,25-4013.00,0.89
Biology,25-4013.00,0.89
Chemistry,25-4013.00,0.89
Data Science and Machine Learning,25-4013.00,0.89
Environmental Science,25-4013.00,0.89
Media Production and Leadership,25-4022.00,0.98
Film Studies and Production,25-4022.00,0.88
"Art History, Theory, and Criticism",25-4022.00,0.77
Broadcast Journalism,25-4031.00,0.94
Media Production and Leadership,25-4031.00,0.94
"Art History, Theory, and Criticism",25-4031.00,0.72
Business Administration,25-9021.00,0.98
Management,25-9021.00,0.98
Nutrition and Dietetics,25-9021.00,0.93
Nutrition Science,25-9021.00,0.93
Sport Nutrition,25-9021.00,0.93
Operations Management,25-9021.00,0.87
Instructional Design and Technology,25-9031.00,0.98
Elementary Education,25-9031.00,0.82
K-12 Physical Education,25-9031.00,0.82
Special Education,25-9031.00,0.82
Special Education,25-9042.00,0.98
Elementary Education,25-9042.00,0.93
Early Childhood Education,25-9042.00,0.86
Art Education,25-9042.00,0.83
Special Education,25-9043.00,0.98
Early Childhood Education,25-9043.00,0.88
Elementary Education,25-9043.00,0.88
Art Education,25-9043.00,0.85
K-12 Physical Education,25-9043.00,0.85
Elementary Education,25-9044.00,0.94
Instructional Design and Technology,25-9044.00,0.94
Special Education,25-9044.00,0.94
Business Administration,25-9049.00,0.90
Management,25-9049.00,0.90
Communication Studies,25-9049.00,0.90
Art Education,25-9099.00,0.93
Early Childhood Education,25-9099.00,0.93
Elementary Education,25-9099.00,0.93
K-12 Physical Education,25-9099.00,0.93
Music Education,25-9099.00,0.93
Social Work,25-9099.00,0.93
Film Studies and Production,27-1011.00,0.98
Media Production and Leadership,27-1011.00,0.98
Video Production,27-1011.00,0.98
Art,27-1012.00,0.95
Art,27-1013.00,0.98
Broadcast Journalism,27-1013.00,0.71
Media Production and Leadership,27-1013.00,0.71
Film Studies and Production,27-1014.00,0.98
Media Production and Leadership,27-1014.00,0.98
Video Production,27-1014.00,0.98
Music,27-1014.00,0.90
Art,27-1014.00,0.78
Broadcast Journalism,27-1014.00,0.78
Social Work,27-1019.00,0.93
Art,27-1019.00,0.80
Industrial Design,27-1021.00,0.98
Advanced Manufacturing Sciences,27-1021.00,0.79
Marketing,27-1021.00,0.79
Art,27-1022.00,0.94
Communication Design,27-1022.00,0.94
Industrial Design,27-1022.00,0.94
Art,27-1023.00,0.94
Communication Design,27-1023.00,0.94
Industrial Design,27-1023.00,0.94
Communication Design,27-1024.00,0.98
Art,27-1024.00,0.76
Industrial Design,27-1024.00,0.76
Art,27-1025.00,0.94
Communication Design,27-1025.00,0.94
Industrial Design,27-1025.00,0.94
International Business,27-1026.00,0.90
Film Studies and Production,27-1027.00,0.98
Media Production and Leadership,27-1027.00,0.98
Video Production,27-1027.00,0.98
Art,27-1029.00,0.90
Communication Design,27-1029.00,0.90
Video Production,27-2011.00,0.98
Film Studies and Production,27-2011.00,0.93
Media Production and Leadership,27-2011.00,0.93
Broadcast Journalism,27-2011.00,0.82
Dance,27-2011.00,0.82
Theatre,27-2011.00,0.82
Film Studies and Production,27-2012.00,0.98
Media Production and Leadership,27-2012.00,0.98
Video Production,27-2012.00,0.94
Media Production and Leadership,27-2012.03,0.98
Broadcast Journalism,27-2012.03,0.90
Film Studies and Production,27-2012.03,0.74
Film Studies and Production,27-2012.04,0.98
Media Production and Leadership,27-2012.04,0.87
Broadcast Journalism,27-2012.04,0.78
Media Production and Leadership,27-2012.05,0.98
Technical Writing and Editing,27-2012.05,0.92
Broadcast Journalism,27-2012.05,0.90
Sport Management,27-2021.00,0.98
Sport Nutrition,27-2021.00,0.91
Event and Meeting Management,27-2021.00,0.78
Sport Management,27-2022.00,0.98
Sport Nutrition,27-2022.00,0.85
K-12 Physical Education,27-2022.00,0.70
Sport Management,27-2023.00,0.98
Sport Nutrition,27-2023.00,0.84
Event and Meeting Management,27-2023.00,0.78
Dance,27-2031.00,0.98
Video Production,27-2031.00,0.84
Film Studies and Production,27-2031.00,0.74
Dance,27-2032.00,0.98
Theatre,27-2032.00,0.78
"Art History, Theory, and Criticism",27-2032.00,0.65
Music,27-2041.00,0.98
Art,27-2041.00,0.74
Film Studies and Production,27-2041.00,0.74
Music,27-2042.00,0.98
Video Production,27-2042.00,0.84
Film Studies and Production,27-2042.00,0.74
Music,27-2091.00,0.98
Broadcast Journalism,27-2091.00,0.83
"Art History, Theory, and Criticism",27-2091.00,0.68
Sport Management,27-2099.00,0.98
Sport Nutrition,27-2099.00,0.89
Social Work,27-2099.00,0.75
Broadcast Journalism,27-3011.00,0.98
Media Production and Leadership,27-3011.00,0.84
Journalism,27-3011.00,0.80
Broadcast Journalism,27-3023.00,0.98
Journalism,27-3023.00,0.82
Media Production and Leadership,27-3023.00,0.79
Public Relations,27-3031.00,0.98
Broadcast Journalism,27-3031.00,0.70
Communication Design,27-3031.00,0.70
English,27-3041.00,0.90
Film Studies and Production,27-3041.00,0.90
Journalism,27-3041.00,0.90
Technical Writing and Editing,27-3041.00,0.90
Video Production,27-3041.00,0.90
Technical Writing and Editing,27-3042.00,0.98
English,27-3042.00,0.86
Advanced Manufacturing Sciences,27-3042.00,0.65
English,27-3043.00,0.95
Communication Studies,27-3043.00,0.75
Journalism,27-3043.00,0.75
Philosophy,27-3043.00,0.75
Technical Writing and Editing,27-3043.00,0.75
Communication Studies,27-3043.05,0.90
English,27-3043.05,0.90
Journalism,27-3043.05,0.90
Philosophy,27-3043.05,0.90
